,PCR,수정주가,CPS,code,year
"2021/12(IFRS연결)
													
													연간컨센서스보기",12.86,"202,000","15,712",000810,2021
2017/12(IFRS연결),16.49,"447,500","27,134",036570,2017
2018/12(IFRS연결),29.01,"466,500","16,081",036570,2018
2019/12(IFRS연결),30.27,"541,000","17,873",036570,2019
2020/12(IFRS연결),28.88,"931,000","32,233",036570,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",36.10,"643,000","17,814",036570,2021
2017/12(IFRS연결),3.38,"16,450","4,861",024110,2017
2018/12(IFRS연결),-0.89,"14,050","-15,802",024110,2018
2019/12(IFRS연결),-0.70,"11,800","-16,914",024110,2019
2020/12(IFRS연결),-0.85,"8,840","-10,362",024110,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",-1.38,"10,300","-7,474",024110,2021
2017/12(IFRS연결),2.04,"30,250","14,851",030200,2017
2018/12(IFRS연결),1.94,"29,800","15,359",030200,2018
2019/12(IFRS연결),1.88,"27,000","14,343",030200,2019
2020/12(IFRS연결),1.32,"24,000","18,152",030200,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",1.44,"30,600","21,301",030200,2021
2017/12(IFRS연결),7.64,"144,000","18,844",011070,2017
2018/12(IFRS연결),1.92,"86,400","44,887",011070,2018
2019/12(IFRS연결),4.31,"140,000","32,494",011070,2019
2020/12(IFRS연결),4.55,"182,500","40,151",011070,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",7.32,"364,000","49,758",011070,2021
2017/12(IFRS연결),8.41,"136,000","16,174",086280,2017
2018/12(IFRS연결),9.88,"129,000","13,058",086280,2018
2019/12(IFRS연결),7.24,"143,000","19,759",086280,2019
2020/12(IFRS연결),7.06,"184,000","26,050",086280,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",5.70,"168,000","29,480",086280,2021
2017/12(IFRS연결),4.49,"366,000","81,464",097955,2017
2018/12(IFRS연결),11.33,"330,500","29,182",097955,2018
2019/12(IFRS연결),1.93,"252,500","130,823",097955,2019
2020/12(IFRS연결),3.12,"381,000","122,195",097955,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",3.76,"387,500","102,945",097955,2021
2017/12(IFRS연결),5.76,"30,630","5,317",009835,2017
2018/12(IFRS연결),4.61,"19,580","4,246",009835,2018
2019/12(IFRS연결),2.57,"18,272","7,123",009835,2019
2020/12(IFRS연결),7.28,"46,430","6,377",009835,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",6.71,"35,500","5,291",009835,2021
2017/12(IFRS연결),29.76,"188,500","6,334",251270,2017
2018/12(IFRS연결),40.35,"111,500","2,763",251270,2018
2019/12(IFRS연결),20.74,"92,400","4,456",251270,2019
2020/12(IFRS연결),30.31,"131,500","4,339",251270,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",78.15,"125,000","1,600",251270,2021
2017/12(IFRS연결),158.80,"39,682",250,066970,2017
2018/12(IFRS연결),-317.63,"33,748",-106,066970,2018
2019/12(IFRS연결),-21.49,"20,351",-947,066970,2019
2020/12(IFRS연결),42.03,"68,767","1,636",066970,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",-51.66,"222,400","-4,305",066970,2021
2017/12(IFRS연결),4.03,"368,000","91,290",011170,2017
2018/12(IFRS연결),6.88,"277,000","40,289",011170,2018
2019/12(IFRS연결),6.01,"224,000","37,282",011170,2019
2020/12(IFRS연결),7.22,"276,000","38,243",011170,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",5.00,"217,000","43,361",011170,2021
2017/12(IFRS연결),7.91,"99,500","12,572",011785,2017
2018/12(IFRS연결),6.03,"87,300","14,471",011785,2018
2019/12(IFRS연결),4.65,"77,500","16,652",011785,2019
2020/12(IFRS연결),6.29,"145,000","23,037",011785,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",2.61,"166,000","63,519",011785,2021
2017/12(IFRS연결),-1.47,"8,984","-6,091",00680K,2017
2018/12(IFRS연결),-1.06,"6,530","-6,151",00680K,2018
2019/12(IFRS연결),-1.82,"7,550","-4,155",00680K,2019
2020/12(IFRS연결),9.00,"9,440","1,048",00680K,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",-5.51,"8,650","-1,570",00680K,2021
2017/12(IFRS연결),-1.47,"8,984","-6,091",006805,2017
2018/12(IFRS연결),-1.06,"6,530","-6,151",006805,2018
2019/12(IFRS연결),-1.82,"7,550","-4,155",006805,2019
2020/12(IFRS연결),9.00,"9,440","1,048",006805,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",-5.51,"8,650","-1,570",006805,2021
2017/12(IFRS연결),10.56,"95,948","9,083",009540,2017
2018/12(IFRS연결),68.08,"128,500","1,887",009540,2018
2019/12(IFRS연결),-6.11,"126,500","-20,687",009540,2019
2020/12(IFRS연결),-85.35,"108,500","-1,271",009540,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",8.01,"94,600","11,810",009540,2021
2017/12(IFRS연결),5.76,"30,630","5,317",009830,2017
2018/12(IFRS연결),4.61,"19,580","4,246",009830,2018
2019/12(IFRS연결),2.57,"18,272","7,123",009830,2019
2020/12(IFRS연결),7.28,"46,430","6,377",009830,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",6.71,"35,500","5,291",009830,2021
2017/12(IFRS연결),1.58,"29,900","18,904",034220,2017
2018/12(IFRS연결),1.44,"18,050","12,532",034220,2018
2019/12(IFRS연결),2.15,"16,250","7,564",034220,2019
