,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주),name,code,year
"2017/12
									
(IFRS연결)","2,395,754","536,450","536,450","561,960","421,867","413,446","8,422","3,017,521","872,607","2,144,914","2,072,134","72,780","8,975","621,620","-493,852","-125,609","427,922","193,698","188,140",22.39,17.61,21.01,14.96,40.68,"24,536.12","5,421",9.40,"30,427",1.67,850,1.67,14.09,"6,454,924,700",삼성전자우,005935,2017
"2018/12
									
(IFRS연결)","2,437,714","588,867","588,867","611,600","443,449","438,909","4,540","3,393,572","916,041","2,477,532","2,400,690","76,842","8,975","670,319","-522,405","-150,902","295,564","374,755","146,671",24.16,18.19,19.63,13.83,36.97,"27,531.92","6,024",6.42,"35,342",1.09,"1,416",3.66,21.92,"5,969,782,550",삼성전자우,005935,2018
"2019/12
									
(IFRS연결)","2,304,009","277,685","277,685","304,322","217,389","215,051","2,338","3,525,645","896,841","2,628,804","2,549,155","79,649","8,975","453,829","-399,482","-94,845","253,678","200,152","184,120",12.05,9.44,8.69,6.28,34.12,"28,856.02","3,166",17.63,"37,528",1.49,"1,416",2.54,44.73,"5,969,782,550",삼성전자우,005935,2019
"2020/12
									
(IFRS연결)","2,368,070","359,939","359,939","363,451","264,078","260,908","3,170","3,782,357","1,022,877","2,759,480","2,676,703","82,777","8,975","652,870","-536,286","-83,278","375,920","276,950","202,174",15.20,11.15,9.98,7.23,37.07,"30,692.79","3,841",21.09,"39,406",2.06,"2,994",3.70,77.95,"5,969,782,550",삼성전자우,005935,2020
"2021/12
									
(IFRS연결)","2,796,048","516,339","516,339","533,518","399,074","392,438","6,637","4,266,212","1,217,212","3,048,999","2,962,377","86,622","8,975","651,054","-330,478","-239,910","471,221","179,833","183,921",18.47,14.27,13.92,9.92,39.92,"33,143.62","5,777",13.55,"43,611",1.80,"1,444",1.84,25.00,"5,969,782,550",삼성전자우,005935,2021
"2017/12
									
(IFRS연결)","2,395,754","536,450","536,450","561,960","421,867","413,446","8,422","3,017,521","872,607","2,144,914","2,072,134","72,780","8,975","621,620","-493,852","-125,609","427,922","193,698","188,140",22.39,17.61,21.01,14.96,40.68,"24,536.12","5,421",9.40,"30,427",1.67,850,1.67,14.09,"6,454,924,700",삼성전자,005930,2017
"2018/12
									
(IFRS연결)","2,437,714","588,867","588,867","611,600","443,449","438,909","4,540","3,393,572","916,041","2,477,532","2,400,690","76,842","8,975","670,319","-522,405","-150,902","295,564","374,755","146,671",24.16,18.19,19.63,13.83,36.97,"27,531.92","6,024",6.42,"35,342",1.09,"1,416",3.66,21.92,"5,969,782,550",삼성전자,005930,2018
"2019/12
									
(IFRS연결)","2,304,009","277,685","277,685","304,322","217,389","215,051","2,338","3,525,645","896,841","2,628,804","2,549,155","79,649","8,975","453,829","-399,482","-94,845","253,678","200,152","184,120",12.05,9.44,8.69,6.28,34.12,"28,856.02","3,166",17.63,"37,528",1.49,"1,416",2.54,44.73,"5,969,782,550",삼성전자,005930,2019
"2020/12
									
(IFRS연결)","2,368,070","359,939","359,939","363,451","264,078","260,908","3,170","3,782,357","1,022,877","2,759,480","2,676,703","82,777","8,975","652,870","-536,286","-83,278","375,920","276,950","202,174",15.20,11.15,9.98,7.23,37.07,"30,692.79","3,841",21.09,"39,406",2.06,"2,994",3.70,77.95,"5,969,782,550",삼성전자,005930,2020
"2021/12
									
(IFRS연결)","2,796,048","516,339","516,339","533,518","399,074","392,438","6,637","4,266,212","1,217,212","3,048,999","2,962,377","86,622","8,975","651,054","-330,478","-239,910","471,221","179,833","183,921",18.47,14.27,13.92,9.92,39.92,"33,143.62","5,777",13.55,"43,611",1.80,"1,444",1.84,25.00,"5,969,782,550",삼성전자,005930,2021
"2017/12
									
(IFRS연결)","301,094","137,213","137,213","134,396","106,422","106,415",7,"454,185","115,975","338,209","338,153",56,"36,577","146,906","-119,192","-3,519","91,283","55,623","41,713",45.57,35.34,36.80,27.42,34.29,859.32,"14,617",5.23,"47,897",1.60,"1,000",1.31,6.63,"728,002,365",SK하이닉스,000660,2017
"2018/12
									
(IFRS연결)","404,451","208,438","208,438","213,410","155,400","155,401",-1,"636,583","168,060","468,523","468,457",,"36,577","222,272","-214,287","-13,953","160,361","61,911","52,819",51.54,38.42,38.53,28.49,35.87,"1,262.49","21,346",2.83,"68,488",0.88,"1,500",2.48,6.60,"728,002,365",SK하이닉스,000660,2018
"2019/12
									
(IFRS연결)","269,907","27,192","27,192","24,326","20,091","20,060",31,"652,484","173,125","479,359","479,211",148,"36,577","65,497","-104,509","38,367","139,202","-73,705","121,905",10.07,7.44,4.23,3.12,36.12,"1,286.81","2,755",34.15,"70,060",1.34,"1,000",1.06,34.10,"728,002,365",SK하이닉스,000660,2019
"2020/12
									
(IFRS연결)","319,004","50,126","50,126","62,370","47,589","47,551",38,"711,739","192,648","519,091","518,885",206,"36,577","123,146","-118,404","2,521","100,687","22,459","128,954",15.71,14.92,9.53,6.98,37.11,"1,398.15","6,532",18.14,"75,860",1.56,"1,170",0.99,16.83,"728,002,365",SK하이닉스,000660,2020
"2021/12
									
(IFRS연결)","429,978","124,103","124,103","134,160","96,162","96,023",139,"963,865","341,954","621,911","621,571",340,"36,577","197,976","-223,923","44,923","124,866","73,110","191,496",28.86,22.36,16.84,11.48,54.98,"1,643.64","13,190",9.93,"90,394",1.45,"1,540",1.18,11.03,"728,002,365",SK하이닉스,000660,2021
"2017/12
									
(IFRS연결)","256,980","29,285","29,285","25,639","20,220","19,453",767,"250,412","87,026","163,386","161,685","1,700","3,914","31,807","-16,404","-7,365","22,526","9,281","30,449",11.40,7.87,12.92,8.88,53.26,"4,167.96","24,854",16.30,"211,043",1.92,"6,000",1.48,23.65,"70,592,343",LG 화학,051915,2017
"2018/12
									
(IFRS연결)","281,830","22,461","22,461","19,400","15,193","14,726",467,"289,441","116,220","173,221","170,830",,"3,914","21,250","-36,390","17,938","42,194","-20,944","53,211",7.97,5.39,8.86,5.63,67.09,"4,412.01","18,812",18.45,"222,980",1.56,"6,000",1.73,31.24,"70,592,343",LG 화학,051915,2018
"2019/12
									
(IFRS연결)","273,531","8,254","8,254","5,744","3,761","3,134",627,"340,244","166,406","173,838","170,050","3,788","3,914","31,211","-61,114","23,006","62,382","-31,171","84,143",3.02,1.38,1.84,1.20,95.73,"4,362.05","4,003",79.31,"221,961",1.43,"2,000",0.63,49.02,"70,592,343",LG 화학,051915,2019
"2020/12
									
(IFRS연결)","300,589","18,054","18,054","9,516","6,824","5,126","1,698","413,889","225,985","187,904","180,391","7,513","3,914","58,408","-52,964","9,381","55,358","3,050","101,861",6.01,2.27,2.93,1.81,120.27,"4,565.03","6,549",125.83,"231,866",3.55,"10,000",1.21,151.84,"70,592,343",LG 화학,051915,2020
"2021/12
									
(IFRS연결)","426,547","50,255","50,255","48,907","39,539","36,698","2,841","511,353","279,253","232,100","216,938","15,162","3,914","55,098","-53,493","1,237","57,736","-2,638","147,657",11.78,9.27,18.47,8.55,120.32,"5,311.19","46,880",13.12,"278,455",2.21,"12,000",1.95,25.49,,LG 화학,051915,2021
"2017/12
									
(IFRS별도)","4,646",660,660,"-1,160",-970,-970,,"71,831","32,066","39,765","39,765",,"1,654","1,498","2,652","-2,872","4,941","-3,443","5,459",14.20,-20.87,-2.41,-1.32,80.64,"2,306.38","-1,448",N/A,"60,099",6.17,0,0.00,0.00,"66,961,660",삼성바이오로직스,207940,2017
"2018/12
									
(IFRS별도)","5,358",557,557,"3,030","2,241","2,241",,"59,804","18,249","41,555","41,555",,"1,654",-330,"-6,314","3,239","2,786","-3,117","8,727",10.39,41.83,5.51,3.40,43.92,"2,416.40","3,347",114.13,"62,805",6.15,0,0.00,0.00,"66,961,660",삼성바이오로직스,207940,2018
"2019/12
									
(IFRS별도)","7,016",917,917,672,496,496,,"38,244","10,866","27,377","27,377",,"1,654",102,"3,396","-2,398","1,717","-1,616","6,537",13.08,7.07,1.44,1.01,39.69,"1,564.97",741,577.28,"41,377",10.46,0,0.00,0.00,"66,961,660",삼성바이오로직스,207940,2019
"2020/12
									
(IFRS연결)","11,648","2,928","2,928","2,660","2,410","2,410",,"64,242","18,254","45,988","45,988",,"1,654","2,021","-4,187","1,226","1,397",624,"7,849",25.14,20.69,,,39.69,"2,684.75","3,599",226.84,"68,678",11.89,0,0.00,0.00,"66,961,660",삼성바이오로직스,207940,2020
"2021/12
									
(IFRS연결)","15,680","5,373","5,373","5,613","3,936","3,936",,"79,700","29,789","49,911","49,911",,"1,654","4,546","-9,335","4,966","4,063",483,"12,927",34.27,25.10,8.21,5.47,59.68,"2,922.69","5,878",151.83,"74,537",11.97,,,,"66,961,660",삼성바이오로직스,207940,2021
"2017/12
									
(IFRS연결)","963,761","45,747","45,747","44,386","45,464","40,328","5,136","1,781,995","1,034,421","747,574","691,035","56,539","14,890","39,224","-47,444","21,812","30,550","8,674","720,011",4.75,4.72,5.92,2.55,138.37,"4,804.16","14,127",11.04,"257,222",0.61,"4,000",2.56,26.77,"220,276,479",현대차2우B,005387,2017
"2018/12
									
(IFRS연결)","968,126","24,222","24,222","25,296","16,450","15,081","1,369","1,806,558","1,067,597","738,960","679,740","59,220","14,890","37,643","-24,151","-8,808","32,265","5,378","733,054",2.50,1.70,2.20,0.92,144.47,"4,747.59","5,352",22.14,"256,422",0.46,"4,000",3.38,70.70,"213,668,187",현대차2우B,005387,2018
"2019/12
									
(IFRS연결)","1,057,464","36,055","36,055","41,638","31,856","29,800","2,056","1,945,122","1,181,465","763,658","700,658","63,000","14,890","4,198","-59,292","48,749","35,867","-31,669","821,763",3.41,3.01,4.32,1.70,154.71,"4,865.48","10,761",11.20,"267,549",0.45,"4,000",3.32,35.35,"213,668,187",현대차2우B,005387,2019
"2020/12
									
(IFRS연결)","1,039,976","23,947","23,947","20,933","19,246","14,244","5,001","2,093,442","1,330,032","763,410","694,806","68,603","14,890","-4,098","-93,376","113,525","46,878","-50,976","921,948",2.30,1.85,2.04,0.95,174.22,"4,909.48","5,144",37.33,"266,968",0.72,"3,000",1.56,55.15,"213,668,187",현대차2우B,005387,2020
"2021/12
									
(IFRS연결)","1,176,106","66,789","66,789","79,596","56,931","49,424","7,507","2,339,464","1,513,306","826,158","749,861","76,297","14,890","-11,764","-51,826","87,923","43,043","-54,808","1,087,992",5.68,4.84,6.84,2.57,183.17,"5,187.27","17,846",11.71,"289,609",0.72,"5,000",2.39,26.32,"213,668,187",현대차2우B,005387,2021
"2017/12
									
(IFRS연결)","963,761","45,747","45,747","44,386","45,464","40,328","5,136","1,781,995","1,034,421","747,574","691,035","56,539","14,890","39,224","-47,444","21,812","30,550","8,674","720,011",4.75,4.72,5.92,2.55,138.37,"4,804.16","14,127",11.04,"257,222",0.61,"4,000",2.56,26.77,"220,276,479",현대차우,005385,2017
"2018/12
									
(IFRS연결)","968,126","24,222","24,222","25,296","16,450","15,081","1,369","1,806,558","1,067,597","738,960","679,740","59,220","14,890","37,643","-24,151","-8,808","32,265","5,378","733,054",2.50,1.70,2.20,0.92,144.47,"4,747.59","5,352",22.14,"256,422",0.46,"4,000",3.38,70.70,"213,668,187",현대차우,005385,2018
"2019/12
									
(IFRS연결)","1,057,464","36,055","36,055","41,638","31,856","29,800","2,056","1,945,122","1,181,465","763,658","700,658","63,000","14,890","4,198","-59,292","48,749","35,867","-31,669","821,763",3.41,3.01,4.32,1.70,154.71,"4,865.48","10,761",11.20,"267,549",0.45,"4,000",3.32,35.35,"213,668,187",현대차우,005385,2019
"2020/12
									
(IFRS연결)","1,039,976","23,947","23,947","20,933","19,246","14,244","5,001","2,093,442","1,330,032","763,410","694,806","68,603","14,890","-4,098","-93,376","113,525","46,878","-50,976","921,948",2.30,1.85,2.04,0.95,174.22,"4,909.48","5,144",37.33,"266,968",0.72,"3,000",1.56,55.15,"213,668,187",현대차우,005385,2020
"2021/12
									
(IFRS연결)","1,176,106","66,789","66,789","79,596","56,931","49,424","7,507","2,339,464","1,513,306","826,158","749,861","76,297","14,890","-11,764","-51,826","87,923","43,043","-54,808","1,087,992",5.68,4.84,6.84,2.57,183.17,"5,187.27","17,846",11.71,"289,609",0.72,"5,000",2.39,26.32,"213,668,187",현대차우,005385,2021
"2017/12
									
(IFRS연결)","963,761","45,747","45,747","44,386","45,464","40,328","5,136","1,781,995","1,034,421","747,574","691,035","56,539","14,890","39,224","-47,444","21,812","30,550","8,674","720,011",4.75,4.72,5.92,2.55,138.37,"4,804.16","14,127",11.04,"257,222",0.61,"4,000",2.56,26.77,"220,276,479",현대차3우B,005389,2017
"2018/12
									
(IFRS연결)","968,126","24,222","24,222","25,296","16,450","15,081","1,369","1,806,558","1,067,597","738,960","679,740","59,220","14,890","37,643","-24,151","-8,808","32,265","5,378","733,054",2.50,1.70,2.20,0.92,144.47,"4,747.59","5,352",22.14,"256,422",0.46,"4,000",3.38,70.70,"213,668,187",현대차3우B,005389,2018
"2019/12
									
(IFRS연결)","1,057,464","36,055","36,055","41,638","31,856","29,800","2,056","1,945,122","1,181,465","763,658","700,658","63,000","14,890","4,198","-59,292","48,749","35,867","-31,669","821,763",3.41,3.01,4.32,1.70,154.71,"4,865.48","10,761",11.20,"267,549",0.45,"4,000",3.32,35.35,"213,668,187",현대차3우B,005389,2019
"2020/12
									
(IFRS연결)","1,039,976","23,947","23,947","20,933","19,246","14,244","5,001","2,093,442","1,330,032","763,410","694,806","68,603","14,890","-4,098","-93,376","113,525","46,878","-50,976","921,948",2.30,1.85,2.04,0.95,174.22,"4,909.48","5,144",37.33,"266,968",0.72,"3,000",1.56,55.15,"213,668,187",현대차3우B,005389,2020
"2021/12
									
(IFRS연결)","1,176,106","66,789","66,789","79,596","56,931","49,424","7,507","2,339,464","1,513,306","826,158","749,861","76,297","14,890","-11,764","-51,826","87,923","43,043","-54,808","1,087,992",5.68,4.84,6.84,2.57,183.17,"5,187.27","17,846",11.71,"289,609",0.72,"5,000",2.39,26.32,"213,668,187",현대차3우B,005389,2021
"2017/12
									
(IFRS연결)","63,466","1,169","1,169","8,241","6,432","6,572",-140,"157,417","42,897","114,520","112,573","1,947","3,567","-2,501",893,"3,534","9,915","-12,416","14,246",1.84,10.13,5.98,4.20,37.46,"2,983.72","9,338",21.90,"168,339",1.21,"1,000",0.49,10.19,"68,764,530",삼성SDI,006400,2017
"2018/12
									
(IFRS연결)","91,583","7,150","7,150","10,362","7,450","7,012",439,"193,497","71,245","122,252","119,340",,"3,567","2,606","-17,047","17,561","21,461","-18,855","32,537",7.81,8.13,6.05,4.25,58.28,"3,266.07","9,962",21.98,"178,459",1.23,"1,000",0.46,9.55,"68,764,530",삼성SDI,006400,2018
"2019/12
									
(IFRS연결)","100,974","4,622","4,622","5,646","4,024","3,565",458,"198,521","71,918","126,603","123,249","3,354","3,567","9,231","-15,351","2,389","18,983","-9,752","36,051",4.58,3.98,2.94,2.05,56.81,"3,338.50","5,066",46.59,"184,305",1.28,"1,000",0.42,18.78,"68,764,530",삼성SDI,006400,2019
"2020/12
									
(IFRS연결)","112,948","6,713","6,713","8,034","6,310","5,747",562,"215,342","81,753","133,589","129,776","3,813","3,567","19,488","-17,784","2,406","17,283","2,206","39,593",5.94,5.59,4.54,3.05,61.20,"3,481.82","8,166",76.91,"194,065",3.24,"1,000",0.16,11.65,"68,764,530",삼성SDI,006400,2020
"2021/12
									
(IFRS연결)","135,532","10,676","10,676","16,633","12,504","11,698",806,"258,332","106,365","151,967","147,043","4,924","3,567","21,760","-19,495","5,827","22,547",-787,"46,565",7.88,9.23,8.45,5.28,69.99,"3,789.74","16,621",39.41,"219,885",2.98,"1,000",0.15,5.72,"68,764,530",삼성SDI,006400,2021
"2017/12
									
(IFRS연결)","63,466","1,169","1,169","8,241","6,432","6,572",-140,"157,417","42,897","114,520","112,573","1,947","3,567","-2,501",893,"3,534","9,915","-12,416","14,246",1.84,10.13,5.98,4.20,37.46,"2,983.72","9,338",21.90,"168,339",1.21,"1,000",0.49,10.19,"68,764,530",삼성SDI우,006405,2017
"2018/12
									
(IFRS연결)","91,583","7,150","7,150","10,362","7,450","7,012",439,"193,497","71,245","122,252","119,340",,"3,567","2,606","-17,047","17,561","21,461","-18,855","32,537",7.81,8.13,6.05,4.25,58.28,"3,266.07","9,962",21.98,"178,459",1.23,"1,000",0.46,9.55,"68,764,530",삼성SDI우,006405,2018
"2019/12
									
(IFRS연결)","100,974","4,622","4,622","5,646","4,024","3,565",458,"198,521","71,918","126,603","123,249","3,354","3,567","9,231","-15,351","2,389","18,983","-9,752","36,051",4.58,3.98,2.94,2.05,56.81,"3,338.50","5,066",46.59,"184,305",1.28,"1,000",0.42,18.78,"68,764,530",삼성SDI우,006405,2019
"2020/12
									
(IFRS연결)","112,948","6,713","6,713","8,034","6,310","5,747",562,"215,342","81,753","133,589","129,776","3,813","3,567","19,488","-17,784","2,406","17,283","2,206","39,593",5.94,5.59,4.54,3.05,61.20,"3,481.82","8,166",76.91,"194,065",3.24,"1,000",0.16,11.65,"68,764,530",삼성SDI우,006405,2020
"2021/12
									
(IFRS연결)","135,532","10,676","10,676","16,633","12,504","11,698",806,"258,332","106,365","151,967","147,043","4,924","3,567","21,760","-19,495","5,827","22,547",-787,"46,565",7.88,9.23,8.45,5.28,69.99,"3,789.74","16,621",39.41,"219,885",2.98,"1,000",0.15,5.72,"68,764,530",삼성SDI우,006405,2021
"2017/12
									
(IFRS연결)","46,785","11,792","11,792","11,958","7,701","7,729",-28,"80,193","27,141","53,052","47,623","5,428",165,"9,400","-13,103","6,362","4,722","4,678","4,156",25.20,16.46,18.50,10.70,51.16,"36,789.46","4,689",37.10,"32,429",5.37,289,0.17,5.50,"164,813,395",NAVER,035420,2017
"2018/12
									
(IFRS연결)","55,869","9,425","9,425","11,117","6,279","6,488",-209,"98,812","39,320","59,491","52,403","7,089",165,"9,735","-3,883","7,510","5,350","4,385","11,717",16.87,11.24,12.97,7.02,66.09,"41,077.90","3,937",30.99,"35,847",3.40,314,0.26,7.07,"164,813,395",NAVER,035420,2018
"2019/12
									
(IFRS연결)","43,562","11,550","11,550","13,913","3,968","5,831","-1,862","122,995","57,956","65,039","58,052","6,987",165,"13,568","-10,781",523,"4,359","9,209","20,951",26.51,9.11,10.56,3.58,89.11,"44,216.06","3,538",52.72,"39,913",4.67,376,0.20,9.38,"164,813,395",NAVER,035420,2019
"2020/12
									
(IFRS연결)","53,041","12,153","12,153","16,336","8,450","10,021","-1,571","170,142","87,591","82,551","73,672","8,879",165,"14,472","-25,032","11,921","7,594","6,878","8,975",22.91,15.93,15.21,5.76,106.11,"51,258.50","6,097",47.97,"49,961",5.85,402,0.14,5.92,"164,263,395",NAVER,035420,2020
"2021/12
									
(IFRS연결)","68,176","13,255","13,255","21,264","164,776","164,898",-122,"336,910","96,636","240,274","235,356","4,917",165,"13,799","-139,988","116,423","7,539","6,260","44,704",19.44,241.69,106.72,64.99,40.22,"149,081.46","100,400",3.77,"157,641",2.40,511,0.14,0.46,"164,049,085",NAVER,035420,2021
"2017/12
									
(IFRS연결)","256,980","29,285","29,285","25,639","20,220","19,453",767,"250,412","87,026","163,386","161,685","1,700","3,914","31,807","-16,404","-7,365","22,526","9,281","30,449",11.40,7.87,12.92,8.88,53.26,"4,167.96","24,854",16.30,"211,043",1.92,"6,000",1.48,23.65,"70,592,343",LG화학,051910,2017
"2018/12
									
(IFRS연결)","281,830","22,461","22,461","19,400","15,193","14,726",467,"289,441","116,220","173,221","170,830",,"3,914","21,250","-36,390","17,938","42,194","-20,944","53,211",7.97,5.39,8.86,5.63,67.09,"4,412.01","18,812",18.45,"222,980",1.56,"6,000",1.73,31.24,"70,592,343",LG화학,051910,2018
"2019/12
									
(IFRS연결)","273,531","8,254","8,254","5,744","3,761","3,134",627,"340,244","166,406","173,838","170,050","3,788","3,914","31,211","-61,114","23,006","62,382","-31,171","84,143",3.02,1.38,1.84,1.20,95.73,"4,362.05","4,003",79.31,"221,961",1.43,"2,000",0.63,49.02,"70,592,343",LG화학,051910,2019
"2020/12
									
(IFRS연결)","300,589","18,054","18,054","9,516","6,824","5,126","1,698","413,889","225,985","187,904","180,391","7,513","3,914","58,408","-52,964","9,381","55,358","3,050","101,861",6.01,2.27,2.93,1.81,120.27,"4,565.03","6,549",125.83,"231,866",3.55,"10,000",1.21,151.84,"70,592,343",LG화학,051910,2020
"2021/12
									
(IFRS연결)","426,547","50,255","50,255","48,907","39,539","36,698","2,841","511,353","279,253","232,100","216,938","15,162","3,914","55,098","-53,493","1,237","57,736","-2,638","147,657",11.78,9.27,18.47,8.55,120.32,"5,311.19","46,880",13.12,"278,455",2.21,"12,000",1.95,25.49,,LG화학,051910,2021
"2017/12
									
(IFRS연결)","963,761","45,747","45,747","44,386","45,464","40,328","5,136","1,781,995","1,034,421","747,574","691,035","56,539","14,890","39,224","-47,444","21,812","30,550","8,674","720,011",4.75,4.72,5.92,2.55,138.37,"4,804.16","14,127",11.04,"257,222",0.61,"4,000",2.56,26.77,"220,276,479",현대차,005380,2017
"2018/12
									
(IFRS연결)","968,126","24,222","24,222","25,296","16,450","15,081","1,369","1,806,558","1,067,597","738,960","679,740","59,220","14,890","37,643","-24,151","-8,808","32,265","5,378","733,054",2.50,1.70,2.20,0.92,144.47,"4,747.59","5,352",22.14,"256,422",0.46,"4,000",3.38,70.70,"213,668,187",현대차,005380,2018
"2019/12
									
(IFRS연결)","1,057,464","36,055","36,055","41,638","31,856","29,800","2,056","1,945,122","1,181,465","763,658","700,658","63,000","14,890","4,198","-59,292","48,749","35,867","-31,669","821,763",3.41,3.01,4.32,1.70,154.71,"4,865.48","10,761",11.20,"267,549",0.45,"4,000",3.32,35.35,"213,668,187",현대차,005380,2019
"2020/12
									
(IFRS연결)","1,039,976","23,947","23,947","20,933","19,246","14,244","5,001","2,093,442","1,330,032","763,410","694,806","68,603","14,890","-4,098","-93,376","113,525","46,878","-50,976","921,948",2.30,1.85,2.04,0.95,174.22,"4,909.48","5,144",37.33,"266,968",0.72,"3,000",1.56,55.15,"213,668,187",현대차,005380,2020
"2021/12
									
(IFRS연결)","1,176,106","66,789","66,789","79,596","56,931","49,424","7,507","2,339,464","1,513,306","826,158","749,861","76,297","14,890","-11,764","-51,826","87,923","43,043","-54,808","1,087,992",5.68,4.84,6.84,2.57,183.17,"5,187.27","17,846",11.71,"289,609",0.72,"5,000",2.39,26.32,"213,668,187",현대차,005380,2021
"2017/12
									
(IFRS연결)","19,723","1,654","1,654","1,533","1,251","1,086",165,"63,494","18,865","44,629","40,291","4,787",340,"3,719","-3,547","4,676",752,"2,968","7,952",8.38,6.34,2.91,2.11,42.27,"11,781.26",320,85.50,"11,867",2.31,30,0.11,9.25,"339,542,635",카카오,035720,2017
"2018/12
									
(IFRS연결)","24,170",729,729,"1,307",159,479,-320,"79,595","23,324","56,272","51,369",,417,"4,915","-12,607","8,905",972,"3,943","6,545",3.02,0.66,1.04,0.22,41.45,"12,219.62",123,168.01,"12,979",1.59,25,0.12,20.99,"416,938,865",카카오,035720,2018
"2019/12
									
(IFRS연결)","30,701","2,068","2,068","-2,343","-3,419","-3,010",-409,"87,373","29,971","57,401","52,254","5,148",432,"7,527","-4,142","3,222","1,064","6,463","7,539",6.73,-11.14,-5.81,-4.09,52.21,"12,027.79",-717,N/A,"12,746",2.41,25,0.08,-3.46,"431,113,180",카카오,035720,2019
"2020/12
									
(IFRS연결)","41,568","4,559","4,559","4,143","1,734","1,556",177,"119,540","45,262","74,277","62,989","11,288",443,"9,711","-12,607","13,054","1,831","7,880","9,504",10.97,4.17,2.70,1.68,60.94,"13,881.01",355,219.25,"14,647",5.32,30,0.04,8.29,"442,509,990",카카오,035720,2020
"2021/12
									
(IFRS연결)","61,367","5,949","5,949","22,937","16,462","13,922","2,540","227,796","91,896","135,900","99,844","36,056",446,"13,066","-33,410","44,412","2,162","10,904","38,425",9.69,26.82,17.10,9.48,67.62,"21,260.57","3,132",35.92,"23,018",4.89,53,0.05,1.65,"445,905,990",카카오,035720,2021
"2017/12
									
(IFRS연결)","535,357","6,622","6,622","11,401","9,680","9,680",,"522,944","254,333","268,612","268,612",,"21,393","25,942","-47,946","7,319","16,895","9,047","87,530",1.24,1.81,3.62,1.88,94.68,"1,205.53","2,388",14.03,"66,997",0.50,800,2.39,33.13,"405,363,347",기아,000270,2017
"2018/12
									
(IFRS연결)","541,698","11,575","11,575","14,686","11,559","11,559",,"517,866","245,431","272,435","272,435",,"21,393","44,708","-11,554","-25,430","23,763","20,945","66,837",2.14,2.13,4.27,2.22,90.09,"1,235.32","2,852",11.82,"67,950",0.50,900,2.67,31.22,"405,363,347",기아,000270,2018
"2019/12
									
(IFRS연결)","581,460","20,097","20,097","25,311","18,267","18,267",,"553,448","263,667","289,781","289,781",,"21,393","36,107","-11,042","-7,263","17,365","18,742","66,995",3.46,3.14,6.50,3.41,90.99,"1,298.17","4,506",9.83,"72,277",0.61,"1,150",2.60,25.24,"405,363,347",기아,000270,2019
"2020/12
									
(IFRS연결)","591,681","20,665","20,665","18,414","14,876","14,876",,"604,904","305,988","298,917","298,917",,"21,393","54,239","-28,649","35,173","16,619","37,620","104,273",3.49,2.51,5.05,2.57,102.37,"1,350.39","3,670",17.00,"74,556",0.84,"1,000",1.60,26.95,"405,363,347",기아,000270,2020
"2021/12
									
(IFRS연결)","698,624","50,657","50,657","63,938","47,603","47,604",-1,"668,500","319,374","349,126","349,104",21,"21,393","73,597","-44,239","-16,205","13,195","60,401","96,163",7.25,6.81,14.69,7.48,91.48,"1,561.65","11,744",7.00,"87,073",0.94,"3,000",3.65,25.27,"405,363,347",기아,000270,2021
"2017/12
									
(IFRS연결)","292,790","8,813","8,813","8,250","4,811","6,398","-1,587","490,489","238,977","251,512","225,568","25,945",191,"13,124","2,799","-11,167","6,780","6,344","60,342",3.01,1.64,3.13,1.03,95.02,"84,799.73","3,344",37.68,"136,764",0.92,"2,000",1.59,51.57,"189,690,043",삼성물산우B,02826K,2017
"2018/12
									
(IFRS연결)","311,556","11,039","11,039","23,827","17,482","17,128",355,"424,067","198,577","225,489","199,466",,191,"16,784","1,678","-18,847","5,404","11,380","45,166",3.54,5.61,8.06,3.82,88.06,"91,044.17","8,953",11.78,"120,938",0.87,"2,000",1.90,19.26,"189,690,043",삼성물산우B,02826K,2018
"2019/12
									
(IFRS연결)","307,615","8,668","8,668","15,266","10,479","10,501",-22,"459,055","192,134","266,921","240,961","25,960",191,"7,708","6,071","-16,124","3,451","4,257","39,621",2.82,3.41,4.77,2.37,71.98,"94,439.65","5,489",19.77,"146,097",0.74,"2,000",1.84,31.42,"189,690,043",삼성물산우B,02826K,2019
"2020/12
									
(IFRS연결)","302,161","8,571","8,571","14,652","11,607","10,355","1,252","543,317","213,863","329,455","301,980","27,475",189,"12,679","-8,484","-6,163","2,849","9,830","36,135",2.84,3.84,3.81,2.32,64.91,"99,776.75","5,468",25.24,"183,094",0.75,"2,300",1.67,36.64,"186,887,081",삼성물산우B,02826K,2020
"2021/12
									
(IFRS연결)","344,552","11,960","11,960","24,805","18,291","16,350","1,940","552,454","218,930","333,524","304,055","29,469",189,"11,957","-8,044","-6,851","5,370","6,588","32,643",3.47,5.31,5.40,3.34,65.64,"106,252.66","8,673",13.72,"184,352",0.65,"4,200",3.53,42.37,"186,887,081",삼성물산우B,02826K,2021
