,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주),name,code,year
"2018/12
									
(IFRS별도)",173,15,15,9,10,10,,389,168,221,221,,32,43,-104,17,93,-50,127,8.93,5.58,4.43,2.60,75.77,598.80,152,59.05,"3,494",2.58,40,0.44,26.24,"6,328,942",알엔투테크놀로지,148250,2018
"2019/12
									
(IFRS별도)",210,28,28,11,9,9,,505,188,317,317,,35,37,-96,91,50,-13,148,13.55,4.33,3.38,2.03,59.52,800.05,135,78.69,"4,500",2.36,50,0.47,38.73,"7,037,317",알엔투테크놀로지,148250,2019
"2020/12
									
(IFRS별도)",238,41,41,28,40,40,,557,196,361,361,,36,38,-55,5,57,-18,153,17.07,16.59,11.67,7.45,54.13,916.79,561,34.43,"5,060",3.81,50,0.26,9.02,"7,215,094",알엔투테크놀로지,148250,2020
"2021/12
									
(IFRS별도)",252,18,18,8,16,16,,757,305,452,452,,38,62,-218,171,33,29,239,7.32,6.21,3.85,2.38,67.49,"1,090.36",211,72.25,"5,960",2.56,30,0.20,14.53,"7,640,489",알엔투테크놀로지,148250,2021
"2017/06
									
(IFRS연결)","1,017",56,56,52,41,41,,962,38,924,924,,88,-20,63,0,12,-32,,5.47,4.07,4.58,4.33,4.14,901.40,184,14.72,"4,145",0.65,58,2.16,31.34,"22,500,000",아세아텍,050860,2017
"2018/06
									
(IFRS별도)","1,006",36,36,37,29,29,,"1,093",97,996,996,,88,24,-48,-49,17,7,0,3.57,2.91,3.05,2.85,9.72,922.91,130,20.52,"4,680",0.57,58,2.18,41.70,"22,500,000",아세아텍,050860,2018
"2019/06
									
(IFRS별도)","1,028",25,25,5,5,5,,"1,216",232,984,984,,88,21,-91,-12,11,10,0,2.41,0.48,0.50,0.43,23.57,910.42,22,152.28,"4,624",0.73,39,1.16,164.05,"22,500,000",아세아텍,050860,2019
"2020/06
									
(IFRS별도)","1,130",52,52,10,10,10,,"1,361",375,986,986,,88,-166,2,192,53,-220,200,4.57,0.87,1.00,0.76,38.00,912.89,44,51.39,"4,634",0.48,39,1.74,83.04,"22,500,000",아세아텍,050860,2020
"2021/06
									
(IFRS별도)","1,065",59,59,61,48,48,,"1,252",225,"1,026","1,026",,112,247,20,-210,9,238,4,5.57,4.48,4.74,3.65,21.96,723.32,212,16.13,"4,822",0.71,50,1.46,22.31,"22,500,000",아세아텍,050860,2021
"2017/12
									
(IFRS별도)","1,805",72,72,54,47,47,,"1,798","1,096",702,702,,236,39,-430,365,375,-336,837,4.00,2.58,6.76,2.94,156.19,210.10,103,13.51,"1,609",0.86,30,2.17,28.08,"45,451,006",영화금속,012280,2017
"2018/12
									
(IFRS별도)","2,267",11,11,5,10,10,,"2,084","1,388",696,696,,236,68,-162,167,221,-153,"1,029",0.47,0.46,1.47,0.53,199.56,211.70,23,58.41,"1,620",0.82,0,0.00,0.00,"45,451,006",영화금속,012280,2018
"2019/12
									
(IFRS별도)","2,326",20,20,5,3,3,,"2,019","1,312",707,707,,236,34,-43,-37,51,-17,975,0.87,0.11,0.38,0.13,185.47,216.57,6,279.64,"1,646",0.99,0,0.00,0.00,"45,451,006",영화금속,012280,2019
"2020/12
									
(IFRS별도)","1,794",-61,-61,-95,-90,-90,,"1,976","1,239",737,737,,276,70,-9,-24,13,56,910,-3.38,-5.04,-12.53,-4.53,168.15,184.62,-190,N/A,"1,467",1.57,15,0.65,-8.33,"53,394,505",영화금속,012280,2020
"2021/12
									
(IFRS별도)","2,355",-164,-164,-207,-185,-185,,"2,116","1,507",609,609,,276,-113,-76,159,61,-174,"1,046",-6.94,-7.86,-27.53,-9.05,247.65,124.90,-347,N/A,"1,156",1.40,0,0.00,,"53,394,505",영화금속,012280,2021
"2017/12
									
(IFRS연결)",428,-80,-80,-107,-113,-113,0,"1,373",811,562,562,1,91,-15,0,15,16,-31,657,-18.67,-26.48,-19.80,-7.98,144.26,502.19,-150,N/A,650,0.38,0,0.00,0.00,"91,000,000",대창솔루션,096350,2017
"2018/12
									
(IFRS연결)",517,-81,-81,-114,-111,-111,0,"1,513","1,008",505,504,1,108,-105,-88,223,9,-114,821,-15.58,-21.50,-20.84,-7.70,199.67,358.64,-111,N/A,486,1.65,0,0.00,0.00,"108,455,315",대창솔루션,096350,2018
"2019/12
									
(IFRS연결)",652,10,10,-47,-48,-48,0,"1,565",904,662,661,0,160,-35,18,31,2,-38,663,1.51,-7.43,-8.25,-3.15,136.62,308.25,-37,N/A,424,0.94,0,0.00,0.00,"160,428,627",대창솔루션,096350,2019
"2020/12
									
(IFRS연결)",475,-112,-112,-258,-267,-266,0,"1,246",819,428,428,0,164,6,-13,-38,2,3,607,-23.57,-56.11,-48.93,-18.97,191.35,149.48,-165,N/A,269,1.84,,,0.00,"163,761,009",대창솔루션,096350,2020
"2021/12
									
(IFRS연결)",492,-82,-82,-150,-150,-133,-17,"1,196",827,369,335,34,164,-12,32,29,2,-14,608,-16.70,-30.46,-34.88,-12.28,224.43,46.89,-81,N/A,210,2.37,,,,"163,761,009",대창솔루션,096350,2021
"2017/12
									
(IFRS연결)","2,012",52,52,34,43,43,,"2,651",832,"1,818","1,818",,64,134,-268,147,193,-59,393,2.57,2.14,2.36,1.66,45.78,"2,860.18",336,30.06,"17,317",0.58,250,2.48,61.04,"12,800,000",조광페인트,004910,2017
"2018/12
									
(IFRS연결)","2,095",1,1,-45,-39,-39,,"3,036","1,296","1,740","1,740",,64,-50,-378,420,361,-411,839,0.06,-1.86,-2.19,-1.37,74.47,"2,759.91",-305,N/A,"16,574",0.39,100,1.53,-26.91,"12,800,000",조광페인트,004910,2018
"2019/12
									
(IFRS연결)","2,034",-4,-4,-23,-23,-23,,"3,125","1,398","1,727","1,727",,64,123,-117,41,164,-41,910,-0.18,-1.14,-1.33,-0.75,80.94,"2,735.75",-181,N/A,"16,451",0.33,200,3.64,-90.79,"12,800,000",조광페인트,004910,2019
"2020/12
									
(IFRS연결)","2,013",-48,-48,41,45,45,,"3,500","1,476","2,024","2,024",,64,143,-105,-71,112,31,879,-2.38,2.22,2.38,1.35,72.89,"2,800.01",349,19.44,"20,016",0.34,200,2.95,45.31,"12,800,000",조광페인트,004910,2020
"2021/12
									
(IFRS연결)","2,385",-88,-88,-311,-244,-244,,"3,470","1,725","1,745","1,745",,64,-43,-181,220,205,-249,"1,120",-3.69,-10.23,-12.94,-7.00,98.86,"2,379.14","-1,906",N/A,"17,256",0.51,100,1.14,-4.15,"12,800,000",조광페인트,004910,2021
"2017/12
									
(IFRS연결)","3,440",-9,-9,-106,-157,-157,,"2,732",686,"2,046","2,046",,61,-222,-14,-130,16,-238,153,-0.27,-4.55,-7.23,-5.16,33.50,"3,147.60","-1,285",N/A,"16,791",0.43,200,2.77,-15.57,"12,188,730",이라이콤,041520,2017
"2018/12
									
(IFRS연결)","3,671",86,86,123,82,82,,"3,129","1,028","2,102","2,102",,61,-322,-37,-12,14,-336,173,2.35,2.24,3.97,2.81,48.90,"3,246.17",675,7.96,"17,245",0.31,400,7.45,59.26,"12,188,730",이라이콤,041520,2018
"2019/12
									
(IFRS연결)","2,771",-55,-55,23,-6,-6,,"2,372",322,"2,050","2,050",,61,724,-13,-234,18,706,8,-2.00,-0.21,-0.28,-0.21,15.72,"3,162.99",-48,N/A,"16,823",0.30,100,1.96,-207.97,"12,188,730",이라이콤,041520,2019
"2020/12
									
(IFRS연결)","2,451",178,178,122,83,83,,"2,607",484,"2,124","2,124",,61,309,-326,-55,4,305,40,7.25,3.38,3.97,3.33,22.78,"3,287.81",680,24.28,"17,425",0.95,600,3.64,88.28,"12,188,730",이라이콤,041520,2020
"2021/12
									
(IFRS연결)","1,863",-51,-51,54,25,25,,"2,541",451,"2,090","2,090",,61,98,2,-32,10,87,89,-2.73,1.33,1.18,0.96,21.57,"3,210.11",203,44.66,"17,151",0.53,300,3.30,147.54,"12,188,730",이라이콤,041520,2021
"2017/12
									
(IFRS연결)","1,433",-18,-18,18,4,4,,"1,974",733,"1,241","1,241",,225,106,88,-176,9,97,392,-1.28,0.24,0.29,0.17,59.05,623.33,8,487.62,"2,827",1.41,0,0.00,0.00,"44,964,143",SG 충방,001380,2017
"2018/12
									
(IFRS연결)","1,345",52,52,37,33,33,,"1,996",726,"1,271","1,271",,225,35,-4,6,43,-8,404,3.85,2.42,2.59,1.64,57.12,636.84,72,40.05,"2,894",1.00,0,0.00,0.00,"44,964,143",SG 충방,001380,2018
"2019/12
									
(IFRS연결)",930,48,48,22,8,8,,"2,041",740,"1,301","1,301",,225,159,-61,-82,15,144,411,5.13,0.81,0.59,0.37,56.90,638.50,17,102.96,"2,893",0.60,0,0.00,0.00,"44,964,143",SG 충방,001380,2019
"2020/12
									
(IFRS연결)",851,48,48,4,-23,-23,,"1,989",724,"1,264","1,264",,225,26,-43,65,52,-27,471,5.64,-2.69,-1.79,-1.14,57.27,628.61,-51,N/A,"2,812",0.74,0,0.00,0.00,"44,964,143",SG 충방,001380,2020
"2021/12
									
(IFRS연결)",578,-6,-6,-53,-56,-56,,"1,870",640,"1,230","1,230",,225,39,-83,-24,101,-62,468,-0.98,-9.61,-4.45,-2.88,52.08,606.84,-123,N/A,"2,735",0.67,,,,"44,964,143",SG 충방,001380,2021
"2017/12
									
(IFRS연결)","1,174",176,176,182,153,153,0,"1,006",406,600,600,0,43,144,-65,-11,4,140,0,15.02,13.02,28.90,17.73,67.66,"1,286.74","1,772",5.33,"6,957",1.36,200,2.12,11.29,"8,625,000",현대통신,039010,2017
"2018/12
									
(IFRS연결)","1,273",201,201,209,170,170,0,"1,112",360,752,752,,43,274,-257,-17,11,263,,15.78,13.39,25.22,16.10,47.86,"1,672.26","1,977",5.46,"8,719",1.24,300,2.78,15.18,"8,625,000",현대통신,039010,2018
"2019/12
									
(IFRS별도)","1,046",105,105,121,107,107,,"1,092",277,815,815,,43,42,-19,-46,10,32,2,10.04,10.20,13.61,9.68,33.92,"1,852.01","1,236",6.49,"9,685",0.83,300,3.74,23.70,"8,625,000",현대통신,039010,2019
"2020/12
									
(IFRS별도)","1,037",86,86,100,91,91,,"1,083",221,862,862,,43,103,18,-53,9,94,5,8.32,8.81,10.89,8.40,25.62,"2,014.14","1,059",7.67,"10,736",0.76,350,4.31,30.76,"8,625,000",현대통신,039010,2020
"2021/12
									
(IFRS별도)",959,49,49,97,90,90,,"1,144",214,930,930,,43,-69,59,-32,7,-76,2,5.06,9.42,10.09,8.12,22.97,"2,174.86","1,048",9.11,"11,584",0.82,350,3.66,31.08,"8,625,000",현대통신,039010,2021
"2017/12
									
(IFRS연결)",364,43,43,29,28,28,,396,57,338,338,,121,51,-56,-12,9,42,0,11.92,7.66,8.54,6.98,16.98,206.00,116,26.00,"1,484",2.03,30,1.00,24.49,"24,154,730",케이엘넷,039420,2017
"2018/12
									
(IFRS연결)",421,41,41,27,17,19,-2,420,66,354,353,,121,46,-26,-3,22,24,0,9.71,4.01,5.55,4.15,18.53,223.95,79,32.62,"1,546",1.68,30,1.16,35.72,"24,154,730",케이엘넷,039420,2018
"2019/12
									
(IFRS연결)",385,41,41,43,38,37,1,449,84,365,363,2,121,46,-30,-32,8,38,19,10.75,9.90,10.41,8.78,23.07,251.53,154,14.95,"1,638",1.41,60,2.60,35.68,"24,154,730",케이엘넷,039420,2019
"2020/12
									
(IFRS연결)",421,48,48,51,44,44,0,463,67,396,394,2,121,68,-47,-20,12,56,17,11.30,10.54,11.67,9.74,17.03,272.39,183,14.84,"1,785",1.52,60,2.21,29.99,"24,154,730",케이엘넷,039420,2020
"2021/12
									
(IFRS연결)",496,68,68,73,65,59,6,527,75,452,444,8,121,85,-58,-19,9,75,14,13.69,13.14,14.20,13.17,16.68,311.72,246,15.58,"2,012",1.91,80,2.09,29.68,"24,154,730",케이엘넷,039420,2021
"2017/12
									
(IFRS연결)","1,643",184,184,144,123,123,,"1,498",647,851,851,,58,172,-133,-27,116,56,393,11.18,7.47,15.18,8.42,76.02,"1,401.06","1,068",6.58,"7,398",0.95,250,3.56,23.42,"11,500,000",KB오토시스,024120,2017
"2018/12
									
(IFRS연결)","1,519",146,146,149,128,128,,"1,456",508,947,947,,58,279,-127,-134,84,195,286,9.59,8.40,14.18,8.63,53.69,"1,574.63","1,109",4.88,"8,236",0.66,280,5.18,25.25,"11,500,000",KB오토시스,024120,2018
"2019/12
									
(IFRS연결)","1,478",127,127,133,107,107,,"1,439",414,"1,025","1,025",,58,138,-22,-126,81,56,205,8.58,7.23,10.84,7.39,40.36,"1,707.23",930,6.65,"8,912",0.69,230,3.72,24.74,"11,500,000",KB오토시스,024120,2019
